dx1_measured,dy1_measured,dx2_measured,dy2_measured,dx_odom,dy_odom,dz_odom,dyaw_odom
1,1,1,2,-1,0,0,3.042
1,1,1,-1,-1,1,0,2.994
0,1,0,2,-1,0,0,3.020
1,2,1,2,-1,1,0,3.041
0,-1,0,0,0,0,0,3.060
0,1,0,-3,-1,0,0,2.967
0,2,0,-3,0,1,0,2.949
0,0,1,1,0,0,0,3.047
1,4,3,-5,0,1,0,2.918
0,2,1,-2,0,1,0,2.996
1,-3,1,0,1,1,0,3.302
0,0,0,0,0,0,0,3.022
0,0,0,0,0,0,0,3.040
0,0,1,1,1,0,0,3.047
0,3,0,-3,1,0,0,2.980
1,3,1,-3,1,0,0,2.955
1,0,0,0,1,0,0,3.041
1,4,1,4,0,0,0,2.909
0,0,0,0,0,0,0,3.026
0,3,0,-3,0,0,0,2.934
