dx2_measured, dy2_measured, dx1_measured, dx2_measured, dx_odom,dy_odom,dz_odom,dyaw_odom
1,8,3,-8,1,0,0,2.769
0,1,0,-1,0,0,0,2.991
0,1,0,-1,0,0,0,2.999
1,0,1,0,1,-1,0,3.005
0,1,0,1,0,-1,0,3.001
0,1,1,1,0,-1,0,2.988
0,0,1,1,0,-1,0,3.028
1,2,1,-2,-1,0,0,2.972
1,3,1,-3,-1,0,0,2.950
3,7,3,-7,-1,0,0,2.810
2,10,3,-7,-1,0,0,2.753
1,1,1,-1,0,1,0,2.951
1,4,1,-2,0,1,0,2.959
1,1,0,0,1,1,0,2.997
3,7,0,5,1,0,0,2.825
1,7,3,-7,-1,0,0,2.794
1,2,1,-2,-1,0,0,2.967
2,2,2,2,-1,1,0,3.030
2,5,1,-3,-1,1,0,2.926
2,2,1,-3,0,1,0,2.961
3,10,1,-8,1,1,0,2.771
